Timestamp	I acknowledge that I have read the above Explanatory Statement and I agree to its terms.	For how long have you been active in the visualization community as an author/reviewer? 	Do you know what a pre-registration is?	How many pre-registrations have you written and submitted?	Do you know what a registered report is?	How well does this definition correspond to what you thought a Registered Report was?	As an author, would you find it helpful to have your study reviewed before you collect data?	Optionally, explain your previous answer or raise any further comments or concerns here	As a reviewer, how willing would you be to review a registered report? 	Optionally, explain your previous answer or raise any further comments or concerns here	As an author, if given the opportunity, how willing would you be to submit first a registered report, adjust your methodology based on reviewers' feedback, and then conduct the study and submit the final paper? 	Optionally, explain your previous answer or raise any further comments or concerns here	Ignoring the potential hurdles of implementing Registered Reports in visualization venues, would you be interested in RRs as a new and complementary publication model in the VIS community?	Optionally, explain your previous answer or raise any further comments or concerns here
13/10/2021 14:27:17	Yes	5 to 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a vague notion of what it means	Reasonably well	Extremely helpful		Eager		Eager		Somehow interested	
13/10/2021 14:31:16	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Helpful		Eager		Eager		Somehow interested	
13/10/2021 14:33:11	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Helpful		Neutral		Eager		Somehow interested	
13/10/2021 14:40:15	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Not very well	Very helpful	To me stage 1 peer review was optional, depending on your ability to ask others, not something that was "part of the process"	Neutral		Eager		Somehow interested	
13/10/2021 14:42:17	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Not very well	Somewhat helpful	Mostly we use data that others collected, sometimes they started long before. 	Neutral	My reviewing load is already high and I do not see how to reduce it. Thus, when I start a new line of reviewing activity, the question arises: How to get rid of some existing (reviewing) tasks.	Neutral		Neutral	
13/10/2021 14:42:29	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Somewhat helpful		Eager		Eager		Somehow interested	
13/10/2021 14:44:29	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Somewhat helpful	may not be fully adapted for HCI research where lot of variability exists during the devellopement phase. Adding some additional work may lead to further delay...	Reluctant	I am not sure that such practice will improve the quality of the validation	Reluctant		Somehow interested	
13/10/2021 14:49:48	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Helpful	Useful feedback (depending on quality of reviewers) but at the cost of delaying the full workflow. Would need this to be more reliable than current non-conference reviewing which can unpredictably take between a couple of weeks and over a year.	Neutral	I probably have insufficient experience always to be confident in assessing statistical validity of some reports.	Eager	Would be useful if method review period not too long.	Somehow interested	Would like to see 'failed' studies in particular. ie. those with credible methodology but whose findings do not support initial hypotheses being investigated.
13/10/2021 14:52:10	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a good understanding of what it is	Reasonably well	Somewhat helpful		Eager		Neutral		Somehow interested	
13/10/2021 14:53:11	Yes	> 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have never heard of it	Reasonably well	Helpful		Neutral		Reluctant	While I realize there is value in this, I also find it overkill, and not necessarily likely to yield meaningful insights to the authors. This is again likely to be highly dependent on which reviewer you get. I can't help but wonder how important this is for research that is gathering empirical evidence mostly for the purpose of validating visualization designs and interaction techniques... 	Somehow interested	
13/10/2021 14:54:59	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful		Eager		Neutral		Neutral	
13/10/2021 15:17:45	Yes	> 10 years	I have never heard of it	0 pre-registration	I have a vague notion of what it means	Reasonably well	Not helpful at all	A study requires some design and an iterative approach, at least in the areas I work in. Early findings provide insight as to what the true research questions are, and prompt toward the proper design to obtain refutable facts. A pre-registration is almost guaranteed to overtly constrain the research to reinforce preconceptions. There may be knowledge areas where it is justified. But it is a very bad idea in general for the conduct of science. 	Very reluctant	Sounds extremely tedious and not very useful. I already review funding request and research grants, which follow a similar pattern: authors explain what they want to do and we decide of funding based on what they propose. But we know that the work that will end up being done will be vastly different. Managing research funding under these constraints is already quite frustrating, I don't want to  further encourage these approach in research and innovation.	Reluctant	I already write research grants. That's enough overselling for me.	Not interested at all	
13/10/2021 15:18:17	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful		Reluctant	I would rather present my ideas as a workshop presentation / short paper / poster	Reluctant	1. time to get reviews; 2. sometimes reviews are not very constructive	Rather not interested	so far, I observe mostly negative impact in changes introduced to VIS. It is easy to break something working, but is quite difficult to create something useful
13/10/2021 15:25:56	Yes	> 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a good understanding of what it is	Very well	Helpful	On the one hand, I'm supportive of the idea of registered reports: they provide a sanity check on the soundness of a proposed study and can lower barriers to engaging in experimental research to people just getting involved in such study. On the other, they can lead to a false sense of complacency. Any experiment has potential confounds. While the registered report approach can catch some potential confounds or methodological flaws, the somewhat implicit (if unintentional) assertion that work adhering to the methods in an accepted report will be "sound" can give a false sense of security that may lead to complacency in investigating confounds after an experiment has been conducted. In other words, theory is different from practice. We often don't know how substantive any trade-off, flaw, or confound might be until execution or analysis.  	Neutral	Reviewers are already under heavy load. While the experimental visualization community is growing, the pool of reviewers with expertise in experimental methods is still relatively small. For those of us already reviewing 60+ manuscripts per year, the idea of significantly increasing the review load feels daunting both for reviewers and for editors/people seeking out reviewers.	Neutral	There are questions where the experimental methods are tricky (or even part of the contribution), in which case having additional input on the methods would be helpful. Other experiments are pretty straightforward, and having an expectation of prior methodological review would simply be yet another delay in the process of getting the results to the research community.	Neutral	While I support the idea in theory, I worry that an expectation would develop that all experimental work should require registered reports, in much the same way certain kinds of domain-oriented work are now pushed towards the corresponding satellite event rather than the core conference. This pressure is social rather than formal, so I'm not sure there's any way to avoid it. 
13/10/2021 15:32:32	Yes	> 10 years	I have never heard of it	> 5 pre-registrations	I have never heard of it	Not at all	Somewhat helpful		Neutral	Time is the issue!	Reluctant	Concerns about turn-around time, reviewers' expertise, etc	Somehow interested	
13/10/2021 15:45:33	Yes	5 to 10 years	I have a vague notion of what it means	1 to 5 pre-registrations	I have never heard of it	Very well	Very helpful		Neutral		Eager		Somehow interested	
13/10/2021 15:50:52	Yes	5 to 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful		Neutral	does it increase the amount of work ? 	Neutral	does it increase the amount of work ? 	Neutral	does it increase the amount of work for reviewers and authors ? 
13/10/2021 16:01:31	Yes	< 5 years	I have a good understanding of what it is	0 pre-registration	I have a vague notion of what it means	Perfectly	Very helpful		Eager		Very eager		Neutral	Any RR must have significant status and prominence at the conference and be some kind of accomplishment in and of itself.
13/10/2021 16:14:44	Yes	5 to 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful		Eager		Neutral		Somehow interested	
13/10/2021 16:23:03	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not at all	Somewhat helpful		Reluctant		Very reluctant		Not interested at all	
13/10/2021 16:35:28	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have never heard of it	Not at all	Helpful		Neutral		Eager		Somehow interested	
13/10/2021 17:06:47	Yes	> 10 years	I have a good understanding of what it is	> 5 pre-registrations	I have never heard of it	Not at all	Very helpful	... as long as, after successful stage 1 review, the acceptance is guaranteed at the second stage if the study was carried out properly	Eager	It would allow control over bad study design, and would virtually eliminate it.	Eager	Same as before, and as long as stage 2 review cannot reject based on random stuff.	Somehow interested	
13/10/2021 17:13:41	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful	Pre-registration and (if I understand registered reports correctly?) make a lot of sense for pure positivist research that privileges the scientific method over other epistemologies. However, for interpretivist work such as grounded theory—where the methods themselves are deliberately ad hoc, and the objective is often to arrive at a rigorous hypothesis, instead of generalizable results—pre-registration makes less sense. I once attempted to pre-register a grounded theory investigation on OSF.io, but the fit was really weird, and ultimately felt like a huge waste of time trying to fit a square peg into a round hole. Yes, I know it's possible to announce the basics "I'm going to do grounded theory about broad topic X and follow Y framework for coding, etc." However, at least in some schools of thought, trying to anticipate too much about what your study will find before you find it (and how you'll adjust your methods accordingly) subverts the whole point of such a study. This isn't to say I don't appreciate the value of pre-registration, etc., for positivist research, but whenever its proponents start posturing as gatekeepers or using words like "mandatory," I tend to get very uncomfortable.  (EDIT after seeing the next page: I think it's *very* interesting that this survey itself is only "quasi-registered." The authors should probably carefully consider WHY this survey itself was hard to fully pre-register!)	Neutral	Re: "how willing" ... I picked "Neutral" because it really depends on the kind of study. For positivist research, I'd say "Very eager;" but for interpretivist research, I'd say "Very reluctant"	Neutral	See previous comment	Neutral	A lot of my response would depend on what is meant / implied by "new and complementary"
13/10/2021 17:15:38	Yes	> 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have never heard of it	Not very well	Somewhat helpful	This model discourages exploratory study. It is designed for confirmatory studies. In practice, things are often somewhere in the middle. Things do change for benign reasons.	Reluctant		Neutral	I would have to have a lot of trust in reviewer confidentiality. It also might be a lot of work to figure out how to articulate something before knowing what the story will be.	Rather not interested	
13/10/2021 17:17:58	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Very well	Somewhat helpful	Since I hadn't heard of this before, my answer to the correspondence question is that the explanation is clear, though I have no previous basis for comparison.	Reluctant		Neutral		Neutral	
13/10/2021 17:44:03	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Somewhat helpful		Neutral		Neutral		Rather not interested	
13/10/2021 17:45:06	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Helpful		Neutral		Eager		Somehow interested	
13/10/2021 17:51:16	Yes	< 5 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Helpful	It could be time consuming due to multiple rounds of reviews	Eager		Reluctant	I wonder how such a procedure is compatible with a paper containing multiple user studies (including pilot ones)?	Very interested	
13/10/2021 17:52:49	Yes	< 5 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Helpful		Neutral		Eager		Neutral	
13/10/2021 17:53:22	Yes	5 to 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a vague notion of what it means	Reasonably well	Very helpful		Eager		Eager		Somehow interested	
13/10/2021 18:16:35	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have a good understanding of what it is	Perfectly	Very helpful		Eager		Eager		Very interested	
13/10/2021 18:28:49	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Reasonably well	Not helpful at all	Too much overhead and significantly delays research and publication.	Very reluctant		Very reluctant		Not interested at all	
13/10/2021 18:30:30	Yes	> 10 years	I have a good understanding of what it is	0 pre-registration	I have never heard of it	Not at all	Somewhat helpful	We tend to review the study internally amongst a broad range of expertise ourselves already as opposed to submitting it and waiting for a review which could significantly slow the process.	Neutral	I feel like it's important for the community to do effective research, but not clear whether peer review is the appropriate mechanism for this.	Neutral	Same as above (do this already without extensive peer review and it woudl slow the process).	Neutral	
13/10/2021 18:48:25	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Very well	Extremely helpful	I typically do not run studies with statistical tests, but if I did, I would love the timely feedback in that way.	Very reluctant	I don't feel I have the expertise in statistical analysis to give good feedback.	Eager		Somehow interested	
13/10/2021 18:50:07	Yes	5 to 10 years	I have a vague notion of what it means	1 to 5 pre-registrations	I have a vague notion of what it means	Very well	Very helpful		Neutral		Neutral		Somehow interested	
13/10/2021 19:13:27	Yes	5 to 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a good understanding of what it is	Reasonably well	Extremely helpful		Very eager	Unless the peer review takes a long time.	Eager		Very interested	
13/10/2021 19:29:09	Yes	> 10 years	I have a vague notion of what it means	1 to 5 pre-registrations	I have a vague notion of what it means	Reasonably well	Very helpful		Reluctant	My review load is already high and if the registered reports would be on top of the obligations I already have this would not be feasible.	Neutral	Depends on the quality/arguments of the review, of course. As an author I would do it. As a supervisor of an author I would like to be as sure as possible that the potential additional cycle pays off. 	Neutral	Somehow yes, but I am reluctant because of portential increase in work load this may put on the community. 
13/10/2021 21:11:20	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Not at all	Somewhat helpful		Neutral		Neutral		Neutral	
13/10/2021 21:30:56	Yes	> 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have written and submitted a registered report before	Reasonably well	Very helpful	This is assuming no misconduct on the side of those reviewing and reading the study design.	Neutral	Sometimes the incomplete nature might make the review harder and less engaging, but judging design quality may be easier when not conflated with findings.	Eager	Suggestions may improve the study before it is too late, post-mortem comments can only improve the analysis and presentation.	Somehow interested	Designing a study is cheaper than carrying it out, and there may be a flood of registered reports attempting to get expertise for free. Unless there is a mechanism to enforce serious and honest preparation, or quick dismissal of study designs, the opportunity for exploitation is a problem. Second, it seems good practice that authors can have their registered reports become publically available to prevent others implementing the study they designed. An acceptable practice would be a study following and citing a published design.  
13/10/2021 22:24:52	Yes	> 10 years	I have a good understanding of what it is	> 5 pre-registrations	I have a vague notion of what it means	Very well	Helpful		Eager		Neutral		Somehow interested	
13/10/2021 22:34:43	Yes	> 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful		Neutral		Eager		Somehow interested	
13/10/2021 22:44:12	Yes	> 10 years	I have a vague notion of what it means	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful	I can't tell whether a positive review of the design study is binding in any way.	Reluctant	There is such variability among user study reviewers, that I would be reluctant to do a review myself. Meaning, reviewers don't agree even on basic issues like p-value reports, and I don't think reviewers hailing from a deeply compromised field (e.g., behavioral psychology, known for p-hacking) are qualified to dictate terms to anyone else (e.g., biostatisticians, not known for p-hacking).	Neutral		Somehow interested	
13/10/2021 22:46:21	Yes	5 to 10 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have never heard of it	Very well	Extremely helpful	Get feedback early on on study design and hypotheses to test, to see if the project is going in a good direction, intersting research questions are investigated, and the study design is appropriate	Eager	I rather review a registered review and give authors feedback early on than telling authors that their study is not "useful" afterwards and feeling bad because they probably have spend time, money, and resources in conducting a study which is leading nowhere	Eager	Same as above: same time, money, resources by getting feedback early on about the study design 	Somehow interested	my question is regarding citing such a registered report and making sure others do not "steal" the idea - does a registered report have a DOI that can be cited later on, this is a bit unclear
13/10/2021 23:58:37	Yes	< 5 years	I have a good understanding of what it is	1 to 5 pre-registrations	I have a good understanding of what it is	Perfectly	Extremely helpful	I'm very excited by the fact that registered reports would provide an opportunity to correct methodological flaws before data collection, to reduce wasted resources.	Eager		Eager		Very interested	Though it might be difficult administratively, I think the visualization community would benefit tremendously from having an outlet for registered reports.
14/10/2021 03:13:33	Yes	< 5 years	I have a vague notion of what it means	1 to 5 pre-registrations	I have never heard of it	Not very well	Helpful		Eager		Very eager		Very interested	
14/10/2021 04:59:33	Yes	< 5 years	I have a good understanding of what it is	0 pre-registration	I have a vague notion of what it means	Very well	Somewhat helpful	Sometimes the study doesn't work out as planned, and subsequent studies are often designed to titrate for additional factors. These subsequent studies tend to branch out like trees, and often it's impossible to map out every path before the data is collected and analyzed. However, this is not to say that having the study reviewed prior isn't helpful - we do versions of that within our labs and with other colleagues, it's just studies tend to be more unpredictable. 	Neutral		Reluctant		Neutral	
14/10/2021 09:41:57	Yes	5 to 10 years	I have never heard of it	0 pre-registration	I have never heard of it	Reasonably well	Helpful		Neutral		Neutral		Neutral	
14/10/2021 10:28:53	Yes	5 to 10 years	I have a good understanding of what it is	0 pre-registration	I have never heard of it	Reasonably well	Somewhat helpful	Ideas can be stolen. More review load	Reluctant		Very reluctant	Additional paper work for uncertain results	Rather not interested	
14/10/2021 10:36:05	Yes	> 10 years	I have never heard of it	0 pre-registration	I have a vague notion of what it means	Not very well	Somewhat helpful		Neutral		Neutral		Somehow interested	
14/10/2021 10:49:51	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have a vague notion of what it means	Not very well	Somewhat helpful		Neutral		Neutral		Neutral	
14/10/2021 10:53:28	Yes	5 to 10 years	I have a vague notion of what it means	0 pre-registration	I have never heard of it	Not very well	Very helpful		Neutral		Eager		Very interested	
